标题,小区,区域,总价,单价,户型,面积,朝向,装修,楼层,楼层数,建筑
东南城角 环城公园旁 观景房 精装三室 双气 有证,郦景豪庭 ,城东,167,"13,659",3室2厅,122.27平米,西北,精装,高,32,板塔结合
仁厚庄园  大三室 东南朝向 半毛坯,仁厚庄园 ,城东,123.8,"10,428",3室2厅,118.73平米,东南,毛坯,高,32,塔楼
南二环 三地铁 西工大旁陪读伊顿 一室一厅 精装,伊顿公馆东区 ,城西,75,"14,547",1室1厅,51.56平米,北,精装,高,33,板塔结合
交大东新花园品质高的二室房源，。,东新花园（城东） ,城东,67,"7,442",2室2厅,90.04平米,南 北,简装,高,7,板楼
二号线地铁口纯南朝向户型方正精装好房出售,宏信国际花园 ,南稍门,210,"19,008",2室2厅,110.48平米,南,其他,低,24,板塔结合
地铁口 西工大 精装三室 看房子方便,御溪书院 ,城西,190,"15,448",3室2厅,123平米,南,其他,高,31,塔楼
城墙边 环城公园旁 五室两厅三卫 顶跃 诚心出售,御城 ,黄雁村,430,"12,584",5室2厅,341.71平米,东南,毛坯,高,19,板塔结合
西工大一路之隔....          .,御溪书院 ,城西,86,"14,936",2室1厅,57.58平米,东,其他,中,31,塔楼
南北通透2楼，业主收拾差不多了，不用花钱直接能住。,东郊单位家属院（景龙池6号院） ,城东,99,"13,459",2室2厅,73.56平米,南 北,其他,低,6,暂无数据
兴庆公园 经九路 两室 户型方正,索罗巷小区 ,城东,49,"8,218",2室1厅,59.63平米,南 北,简装,高,7,板塔结合
满五唯一，2室，南北通透，看房方便。,索罗巷95号院 ,城东,46,"8,098",2室1厅,56.81平米,南 北,其他,高,7,板楼
三  zhong高层电梯双气房产证在手可按揭,城东小筑 ,城东,100,"11,070",2室2厅,90.34平米,东,精装,高,22,塔楼
南二环繁华地段小两室业主诚心出售,煤炭工业西安设计研究院住宅区 ,城东,55,"12,212",2室1厅,45.04平米,南 北,简装,高,6,板楼
此房有证在手，产权清晰，业主诚心出售，随时交易,乐居都会 ,城东,151,"8,642",2室2厅,174.74平米,南 北,简装,高,28,塔楼
李家村十字 万达广场旁 精装三居室出售 可按揭！,友谊小区 ,李家村,180,"13,946",3室2厅,129.07平米,东北,其他,低,10,板楼
一室开间房子比较新，采光好，适合小年轻居住,学府首座 ,城东,71.9,"15,217",1室0厅,47.25平米,北,精装,中,33,板塔结合
一室开间房子比较新，采光好，适合小年轻居住,学府首座 ,城东,71.9,"15,217",1室0厅,47.25平米,北,精装,中,33,板塔结合
此房 2室楼层诚心卖 南北 有证26中 建国路小区旁,23号院 ,城内,86,"12,884",2室1厅,66.75平米,南 北,其他,高,7,板楼
南二环 三地铁 西工大旁陪读伊顿 一室一厅 精装,伊顿公馆东区 ,城西,75,"14,547",1室1厅,51.56平米,北,精装,高,33,板塔结合
南二环繁华地段小两室业主诚心出售,煤炭工业西安设计研究院住宅区 ,城东,55,"12,212",2室1厅,45.04平米,南 北,简装,高,6,板楼
地处繁华 交通便利 产权清晰 诚心出售 可按揭 可看房,南苑中央公寓 ,城内,42,"10,781",1室0厅,38.96平米,西,简装,高,8,板楼
兴庆公园 经九路 两室 户型方正,索罗巷小区 ,城东,49,"8,218",2室1厅,59.63平米,南 北,简装,高,7,板塔结合
自住房出售，光线明亮，阳光充足！,学府首座 ,城东,120,"15,876",2室2厅,75.59平米,东南,其他,低,32,板塔结合
此房满足上市交易条件，满三满二，公园城墙边,乐居都会 ,城东,188,"8,960",3室2厅,209.84平米,南 北,其他,中,28,塔楼
城墙根，位置好，生活交通便利，采光好，,西号巷16号 ,城内,68,"9,049",2室1厅,75.15平米,东 西,其他,高,7,塔楼
满三满二，双公园，近地铁，全明户型，装修保持好。,高山流水星币传说 ,城东,180,"21,285",2室2厅,84.57平米,南,其他,低,32,板塔结合
大三居 明厨明卫 户型方正 看房随时 产证无抵押满两年,兰蒂斯城1期 ,城东,215,"15,807",3室2厅,136.02平米,东南 南,简装,中,33,塔楼
地铁口单位家属院两室一厅。户型好,乐居场小学家属院 ,城东,38,"7,234",2室1厅,52.53平米,西,简装,高,6,塔楼
满三满二，业主诚心出售，户型方正，两室一厅一厨一卫,天伦御城龙脉刘家庄小区 ,城东,85,"10,050",2室1厅,84.58平米,东南,简装,低,32,塔楼
地铁口 南稍门可按揭 满二年城墙公园 诚心出售,物资路5号院 ,南稍门,85,"8,382",3室1厅,101.41平米,南 北,其他,高,7,暂无数据
二环内，精装三室，满五，诚心出售,天伦御城龙脉刘家庄小区 ,城东,163,"15,407",3室2厅,105.8平米,南 西南,简装,中,32,塔楼
东门外，地铁口，户型方正，精装修,幸福逸家 ,城东,101,"10,815",2室2厅,93.39平米,西,其他,低,32,板塔结合
幸福逸家 朝东向两居室 东关正街，地铁6号线,幸福逸家 ,城东,110,"11,249",2室2厅,97.79平米,东,其他,高,32,板塔结合
地铁口 幸福逸家 两室一厅 业主诚心出售 价位可以沟通,幸福逸家 ,城东,98,"11,609",2室1厅,84.42平米,东 西,其他,中,32,板塔结合
南北通透 经典两室 适合陪读 实用面积大,西铁南郊住宅小区 ,城东,170,"30,207",2室2厅,56.28平米,南 北,其他,中,5,板塔结合
地铁六号线门口，两室电梯房，诚心出售、,幸福逸家 ,城东,105,"11,082",2室2厅,94.75平米,西,简装,高,32,板塔结合
东关正街 6号线地铁口 幸福逸家 2012年交的房,幸福逸家 ,城东,95,"11,338",2室1厅,83.79平米,西,其他,高,32,板塔结合
户型方正，实用面积高，小区环境良好，物业实惠优质,西安市含光中学家属院 ,黄雁村,83,"14,388",2室1厅,57.69平米,南 北,其他,5,5,板楼
李家村万达地铁口一室一厅南北户型有证可按揭,安东街省建南五院 ,李家村,36,"7,378",1室1厅,48.8平米,南 北,其他,中,5,板楼
兴庆路地铁口 兴庆公园旁 明小胖房源,翠庭大厦 ,城东,99,"7,981",2室2厅,124.05平米,南,简装,高,27,塔楼
南稍门双地铁口精装两室全明户型有双气有证可按揭,中贸广场 ,南稍门,120,"14,469",2室1厅,82.94平米,东北,精装,低,33,板塔结合
兴庆宫7号楼~方正~精装~出售,兴庆宫 ,城东,176,"19,288",2室1厅,91.25平米,北,精装,低,31,板塔结合
六号线地铁口 兴庆公园 交大旁 办公住家都合适,翠庭大厦 ,城东,110,"8,868",2室2厅,124.05平米,西南,其他,高,27,塔楼
西北商贸后面，旁边配套设施成熟，生活便利，好出租,银邦大厦 ,城东,70,"10,610",1室1厅,65.98平米,南,其他,中,26,塔楼
西京医院 标准1室 纯南 采光好 中间层 产权清晰,索罗巷小区 ,城东,35,"7,801",1室1厅,44.87平米,南,简装,中,7,板塔结合
文艺路地铁口   工商局家属院   大两室  采光好,西安市工商行政管理局碑林分局家属院 ,南稍门,95,"8,917",3室2厅,106.54平米,东 西,其他,高,7,板塔结合
东关正街 6号线地铁口 幸福逸家 2012年交的房,幸福逸家 ,城东,95,"11,338",2室1厅,83.79平米,西,其他,高,32,板塔结合
幸福逸家 朝东向两居室 东关正街，地铁6号线,幸福逸家 ,城东,110,"11,249",2室2厅,97.79平米,东,其他,高,32,板塔结合
南北通透 经典两室 适合陪读 实用面积大,西铁南郊住宅小区 ,城东,170,"30,207",2室2厅,56.28平米,南 北,其他,中,5,板塔结合
满三满二，业主诚心出售，户型方正，两室一厅一厨一卫,天伦御城龙脉刘家庄小区 ,城东,85,"10,050",2室1厅,84.58平米,东南,简装,低,32,塔楼
地铁口精装两室，业主诚心出售，满三满二,嘉怡豪庭 ,南稍门,125,"14,072",2室2厅,88.83平米,东,其他,低,32,板塔结合
六号线地铁口 兴庆公园 交大旁 办公住家都合适,翠庭大厦 ,城东,110,"8,868",2室2厅,124.05平米,西南,其他,高,27,塔楼
兴庆路地铁口 兴庆公园旁 明小胖房源,翠庭大厦 ,城东,99,"7,981",2室2厅,124.05平米,南,简装,高,27,塔楼
地铁口 幸福逸家 两室一厅 业主诚心出售 价位可以沟通,幸福逸家 ,城东,98,"11,609",2室1厅,84.42平米,东 西,其他,中,32,板塔结合
地铁六号线门口，两室电梯房，诚心出售、,幸福逸家 ,城东,105,"11,082",2室2厅,94.75平米,西,简装,高,32,板塔结合
文艺路地铁口   工商局家属院   大两室  采光好,西安市工商行政管理局碑林分局家属院 ,南稍门,95,"8,917",3室2厅,106.54平米,东 西,其他,高,7,板塔结合
此房满五满二，两梯四户，三室两厅两卫,金茂晓苑 ,城东,168,"13,931",3室2厅,120.6平米,东 南,其他,中,28,板塔结合
东泰城市之光小区 两室 朝南 业主诚心出售,东泰城市之光南区 ,黄雁村,185,"23,451",2室1厅,78.89平米,南,其他,中,26,板塔结合
房东诚心出售，交通便利，出行方便。,消防家属院 ,城东,58,"8,107",2室1厅,71.55平米,南,简装,高,8,塔楼
互助路  新兴广场旁  低楼层   产权清晰  诚心出售,德鑫园小区 ,城东,83,"10,040",2室1厅,82.67平米,东南,简装,中,7,板楼
双地铁口   小区优质户型    配套齐全   出行方便,中贸广场 ,南稍门,130,"14,858",2室1厅,87.5平米,西南,其他,高,32,板塔结合
西大街地铁口 精装修电梯房 朝向好,唐宁国际 ,城内,89,"13,814",2室1厅,64.43平米,南,精装,低,12,板塔结合
东 泰 城 市 之 光 ~ 业 主  诚 心 出 售 ~,东泰城市之光南区 ,黄雁村,298,"22,442",3室2厅,132.79平米,东南,精装,高,32,塔楼
"房子南北通透格局， 楼层好, 采光充足，适合老人住",北廓门热力公司家属院 ,城东,45,"9,405",1室1厅,47.85平米,南 北,简装,低,5,暂无数据
大差市地铁口，双气，小面积，单位家属楼,旅游学院家属院 ,城内,50.8,"8,534",2室1厅,59.53平米,南 北,其他,高,6,板楼
兴庆公园旁 两室南北通透 诚心出售,龙渠堡小区 ,城东,68,"8,982",2室2厅,75.71平米,北 南,其他,中,7,板楼
东二环通化门双地铁口宜居高层两室一厅精装双气有证,东窑坊 ,城东,108,"12,380",2室1厅,87.24平米,东北,其他,高,27,板楼
户型方正-采光好-产权清晰-随时过户,福泰公司家属院 ,城东,100,"9,746",3室2厅,102.61平米,东南,简装,中,7,板楼
体育场地铁口 嘉怡豪庭 两室全明户型 满五唯一急售,嘉怡豪庭 ,南稍门,119,"13,462",2室1厅,88.4平米,东,精装,低,32,板塔结合
煤炭设计院，二室双气，采光好，小区安静，出行方便,煤炭工业西安设计研究院住宅区 ,城东,103,"10,388",2室2厅,99.16平米,南 北,其他,中,25,板塔结合
采光充足，房子视野好，价格便宜,东方星座 ,城东,89,"10,378",2室2厅,85.76平米,北,简装,高,30,板塔结合
三区交汇处 诚心出售 随时能看,盛龙广场太白苑 ,黄雁村,95,"11,638",2室1厅,81.63平米,西,简装,2,29,塔楼
交通便利，配套齐全.户型方正.,幸福逸家 ,城东,112,"11,462",2室1厅,97.72平米,东,其他,高,32,板塔结合
南二环东段 武警医院 云峰大厦 一室一厅,云峰大厦 ,城东,78.5,"10,329",1室1厅,76平米,西,简装,中,29,板塔结合
小户型  一室一厅 纯南 采光好,阳光家园 ,城东,50,"8,330",1室1厅,60.03平米,南,其他,高,7,板楼
花园洋房 1T2 新风系统 进口环保材料装修 全明户型,东新城市花园 ,城东,195,"16,944",2室2厅,115.09平米,南 北,其他,中,11,板楼
地铁口 视野好  楼层好 产权清晰 户型方正 东南朝向,云峰大厦 ,城东,126,"8,642",3室2厅,145.81平米,东南,其他,低,29,板塔结合
新装修，地铁口，诚心出售，随时签约,陕安北苑小区 ,黄雁村,65,"11,776",2室1厅,55.2平米,南,精装,中,8,板塔结合
都市朝阳 和平门地铁口 配套成熟 交通便利,都市朝阳 ,李家村,63,"12,373",1室1厅,50.92平米,南,其他,高,16,板塔结合
房子满5不唯一 一梯两户的电梯洋房 三室,东新城市花园 ,城东,173,"14,031",3室2厅,123.3平米,南 北,其他,高,9,板楼
兴庆宫，小两室，可看湖，可按揭,兴庆宫 ,城东,155,"18,866",2室1厅,82.16平米,南,其他,低,33,板塔结合
南稍门双地铁口精装两室全明户型有双气有证可按揭,中贸广场 ,南稍门,120,"14,469",2室1厅,82.94平米,东北,精装,低,33,板塔结合
地铁口，一室一厅，精装修，小区环境优美，,新旅城 ,李家村,68,"14,484",1室0厅,46.95平米,北,简装,中,32,板塔结合
框架结构，南北通透，交通便利，户型方正,功德小区 ,李家村,133,"9,537",3室2厅,139.46平米,南 北,简装,高,7,板楼
长乐公园精装修小两室，业主诚心出售,公园人家 ,城东,85,"12,406",2室1厅,68.52平米,东南,简装,高,34,板塔结合
交大 兰蒂斯城3期 两室 南北通透 精装 打包出售,兰蒂斯城3期 ,城东,140,"15,513",2室2厅,90.25平米,南 北,其他,中,32,塔楼
此房满足上市交易条件，满三满二，公园城墙边生活惬意,乐居都会 ,城东,169,"10,928",3室2厅,154.65平米,东 北,其他,高,28,塔楼
三区交汇，地铁置业，诚心出售，价格可谈,海星未来城 ,城西,120,"13,973",2室1厅,85.88平米,东北,其他,高,30,塔楼
房子诚心出售，精装修自住，房屋保持良好,新旅城 ,李家村,254,"20,217",3室2厅,125.64平米,南,精装,高,33,板塔结合
此房精装修，产证在手，无抵押，产权清晰,常春藤花园 ,城东,135,"15,440",2室1厅,87.44平米,东 东南,简装,中,31,塔楼
东门外，地铁口，户型方正，采光好,幸福逸家 ,城东,110,"11,783",2室2厅,93.36平米,东,其他,低,32,板塔结合
兴庆路旁、满三满二、产权清晰3室、随时签约,兰蒂斯城3期 ,城东,206,"15,539",3室2厅,132.57平米,东南,其他,中,32,塔楼
太古里  小雁塔  五号线地铁口 省医院,豪盛大厦 ,黄雁村,206,"11,193",3室2厅,184.06平米,南 北,其他,高,26,板塔结合
兴庆公园，两梯三户，纯南两室精装修 落地窗，采光好,陕西省电力公司柿园坊小区 ,城东,160,"16,086",2室2厅,99.47平米,南,精装,低,18,板塔结合
交通便利，地铁六号线已开通，公园旁，配套齐全,翠庭大厦 ,城东,94,"7,578",1室0厅,124.05平米,西南,精装,中,27,塔楼
南稍门地铁口精装两室业主靠谱诚心出售，价格可以沟通,长安大街3号 ,南稍门,126,"15,015",2室2厅,83.92平米,东南,精装,中,32,板塔结合
急售急售   四  室  简   装    交 大旁,新兴名园 ,城东,176,"10,798",4室1厅,163平米,西 北,其他,高,24,塔楼
兰蒂斯城1期 3室2厅 西南,兰蒂斯城1期 ,城东,210,"15,439",3室2厅,136.02平米,西南,简装,高,33,塔楼
属于单位家属院 一梯两户 小区管理好 楼层好,粮油局家属院 ,城东,70,"9,978",2室1厅,70.16平米,南,其他,低,7,板塔结合
中间楼层 三号线旁  置换急售，方便看房,东方广场 ,城东,91,"8,572",2室2厅,106.17平米,东南,简装,中,30,板塔结合
长乐门地铁口 更新小区东区 毛坯房 随意改造生活便利,更新小区东区 ,城东,75,"9,442",2室1厅,79.44平米,东,简装,中,7,板楼
乐居都会 1室1厅 北,乐居都会 ,城东,54,"9,041",1室1厅,59.73平米,北,其他,中,28,塔楼
兴庆宫小区~两室~南向~干净~明亮~出售,兴庆宫 ,城东,145,"19,084",2室1厅,75.98平米,南,精装,中,31,板塔结合
铁路局家属院精装3室 业主诚心出售,西铁南郊住宅小区 ,城东,418,"27,294",3室2厅,153.15平米,东 南 北,精装,中,32,板塔结合
兰蒂斯城 精装全明两室户型 双满 有证诚心出售,兰蒂斯城3期 ,城东,170,"18,989",2室2厅,89.53平米,南 北,精装,中,33,塔楼
东门外 地铁六号线 金叶长乐居 4室 精装 有证,金叶长乐居 ,城东,197,"12,406",4室2厅,158.8平米,东南 南,精装,低,31,塔楼
太乙路 铁路局后八三室 南北通透 证在手 可按揭,铁路局后八栋 ,城东,256,"19,471",3室2厅,131.48平米,南 北,简装,高,6,板楼
边家村 省医院旁精装四室 业主诚心出售,水文巷1号 ,黄雁村,259.9,"18,058",4室1厅,143.93平米,北 南,其他,2,26,塔楼
满二满三，楼层、视野 采光好 地铁公园旁,翠庭大厦 ,城东,93,"7,347",1室1厅,126.59平米,南 西,其他,高,27,塔楼
西安市 三中景龙池 省水利厅  三室新装修 有证可按揭,省水利厅家属院 ,城东,158,"16,562",3室1厅,95.4平米,南 北,精装,高,19,塔楼
建筑科技大学站精装大三室诚心出售,新旅城 ,李家村,220,"15,929",3室2厅,138.12平米,南 北,简装,低,33,板塔结合
太乙路旁  南北通透两室  小区安静,中铁一局集团太乙路西院小区 ,李家村,80,"12,297",2室1厅,65.06平米,南 北,其他,高,6,暂无数据
小区自带幼儿园，旁边医院，商场，电子商场等，菜市场,华龙太乙城 ,城东,238,"25,098",3室2厅,94.83平米,南 西南,精装,高,33,板塔结合
楼下地铁口 万达精装1室有证民水民电 随时过户可按揭,李家村万达广场 ,李家村,56,"10,561",1室0厅,53.03平米,西,其他,中,29,板塔结合
此房业主诚心出售 采光好 物业棒 户型方正,铁路局后八栋 ,城东,230,"23,209",3室1厅,99.1平米,南 北,精装,高,6,板楼
九锦台 3室2厅 东 西,九锦台 ,黄雁村,310,"18,837",3室2厅,164.57平米,东 西,其他,中,15,板楼
五号线地铁口 文小旁，中层 随时可看,和平村小区 ,南稍门,43,"9,059",1室1厅,47.47平米,东 西,其他,中,8,暂无数据
长安壹品精装 双卫大两室 产权清晰 诚心出售,长安壹品 ,黄雁村,210,"20,921",2室2厅,100.38平米,南,其他,中,31,板塔结合
户型方正，实用面积高，小区环境良好，物业实惠优质,西安市含光中学家属院 ,黄雁村,83,"14,388",2室1厅,57.69平米,南 北,其他,5,5,板楼
小区处于二环边，第九医院隔壁，交通方便，小区带环境,煤炭工业西安设计研究院住宅区 ,城东,70,"9,080",2室1厅,77.1平米,南 北,其他,中,25,板塔结合
业主诚心出售，房子位置佳，配套设施齐全,恒佳尊者汇 ,南稍门,58,"12,844",1室0厅,45.16平米,南 北,简装,中,23,板塔结合
李家村万达地铁四五号线70年写字间 产证满,李家村万达广场 ,李家村,51.8,"10,122",1室0厅,51.18平米,东,精装,中,27,板塔结合
李家村万达广场  办公写字楼   住宅性质  可按揭,李家村万达广场 ,李家村,64,"10,995",1室1厅,58.21平米,西,其他,中,27,板塔结合
西京医院 电力家属院 6层 市政暖气 有停车位,西安电力高等专科学校住宅区 ,城东,84,"9,627",2室1厅,87.26平米,南 北,简装,高,7,板楼
兴庆公园 柿园坊东区 1楼 3室 精装 有证 可贷款,柿园坊东区 ,城东,118,"12,559",3室1厅,93.96平米,南 北,其他,低,7,板楼
柿园坊小区 总价低 房本在手 诚心出售,柿园坊小区西区 ,城东,43,"8,447",1室1厅,50.91平米,西,其他,高,7,板楼
华龙太乙城  2室 业主诚心卖,华龙太乙城 ,城东,160,"20,951",2室1厅,76.37平米,西北,其他,高,33,板塔结合
满五唯一   通化门地铁口  双气 交通便利,金玉人家 ,城东,60,"12,731",1室0厅,47.13平米,西,其他,高,15,板塔结合
东门外精装两室   业主诚心出售,世贸大厦 ,城东,149.8,"15,054",2室1厅,99.51平米,东,其他,高,32,板塔结合
房源位于环城路，交通方便，产权清晰,陕西省电力公司小东门社区 ,城东,110,"10,629",3室2厅,103.5平米,东北,简装,高,23,暂无数据
文艺路的复式小户型  有证可按揭  价格可谈的,长征左邻右舍 ,李家村,62,"8,994",1室1厅,68.94平米,西,其他,高,15,塔楼
经九路，双气电梯房，业主诚心出售,金叶长乐居 ,城东,100,"12,167",2室1厅,82.19平米,东,其他,中,31,塔楼
体育场地铁口 户型方正 视野开阔 交通便利，出行方便,奥林匹克大厦 ,南稍门,160,"8,858",5室1厅,180.63平米,西南,其他,低,23,塔楼
业主精装修，诚心出售，看房方便。,新旅城 ,李家村,289,"20,720",3室2厅,139.48平米,东南,其他,低,33,板塔结合
兴庆公园邻居 9层电梯小洋房 南北三室单位改造过小区,芙蓉苑 ,城东,100,"10,576",2室1厅,94.56平米,东南,其他,中,9,板楼
高楼层，采光充足，双地铁，生活便捷,友谊小区 ,李家村,90,"8,494",3室2厅,105.96平米,南 北,简装,高,7,板楼
中间楼层 三号线旁  置换急售，方便看房,东方广场 ,城东,91,"8,572",2室2厅,106.17平米,东南,简装,中,30,板塔结合
属于单位家属院 一梯两户 小区管理好 楼层好,粮油局家属院 ,城东,70,"9,978",2室1厅,70.16平米,南,其他,低,7,板塔结合
铁路局家属院精装3室 业主诚心出售,西铁南郊住宅小区 ,城东,418,"27,294",3室2厅,153.15平米,东 南 北,精装,中,32,板塔结合
兴庆宫小区~两室~南向~干净~明亮~出售,兴庆宫 ,城东,145,"19,084",2室1厅,75.98平米,南,精装,中,31,板塔结合
乐居都会 1室1厅 北,乐居都会 ,城东,54,"9,041",1室1厅,59.73平米,北,其他,中,28,塔楼
兴庆宫，小两室，可看湖，可按揭,兴庆宫 ,城东,155,"18,866",2室1厅,82.16平米,南,其他,低,33,板塔结合
云峰大厦南二环边 交通便利  武警医院 雁翔路北口地铁,云峰大厦 ,城东,42.5,"10,346",1室0厅,41.08平米,北,简装,低,29,板塔结合
交大 经典一室一厅 全明户型 商品房 随时过户,兰蒂斯城3期 ,城东,87.9,"17,108",1室1厅,51.38平米,北,其他,中,33,塔楼
房子满三满二，南北均无遮拦，采光充足，人车分流,东新城市花园 ,城东,137,"16,941",2室1厅,80.87平米,南 北,其他,中,11,板楼
"房子南北通透格局， 楼层好, 采光充足，适合老人住",北廓门热力公司家属院 ,城东,45,"9,405",1室1厅,47.85平米,南 北,简装,低,5,暂无数据
交通便利，地铁六号线已开通，公园旁，配套齐全,翠庭大厦 ,城东,94,"7,578",1室0厅,124.05平米,西南,精装,中,27,塔楼
南稍门地铁口精装两室业主靠谱诚心出售，价格可以沟通,长安大街3号 ,南稍门,126,"15,015",2室2厅,83.92平米,东南,精装,中,32,板塔结合
急售急售   四  室  简   装    交 大旁,新兴名园 ,城东,176,"10,798",4室1厅,163平米,西 北,其他,高,24,塔楼
东二环通化门双地铁口宜居高层两室一厅精装双气有证,东窑坊 ,城东,108,"12,380",2室1厅,87.24平米,东北,其他,高,27,板楼
体育场地铁口 嘉怡豪庭 两室全明户型 满五唯一急售,嘉怡豪庭 ,南稍门,119,"13,462",2室1厅,88.4平米,东,精装,低,32,板塔结合
户型方正-采光好-产权清晰-随时过户,福泰公司家属院 ,城东,100,"9,746",3室2厅,102.61平米,东南,简装,中,7,板楼
兰蒂斯城 精装全明两室户型 双满 有证诚心出售,兰蒂斯城3期 ,城东,170,"18,989",2室2厅,89.53平米,南 北,精装,中,33,塔楼
地铁口 视野好  楼层好 产权清晰 户型方正 东南朝向,云峰大厦 ,城东,126,"8,642",3室2厅,145.81平米,东南,其他,低,29,板塔结合
新装修，地铁口，诚心出售，随时签约,陕安北苑小区 ,黄雁村,65,"11,776",2室1厅,55.2平米,南,精装,中,8,板塔结合
都市朝阳 和平门地铁口 配套成熟 交通便利,都市朝阳 ,李家村,63,"12,373",1室1厅,50.92平米,南,其他,高,16,板塔结合
小户型  一室一厅 纯南 采光好,阳光家园 ,城东,50,"8,330",1室1厅,60.03平米,南,其他,高,7,板楼
花园洋房 1T2 新风系统 进口环保材料装修 全明户型,东新城市花园 ,城东,195,"16,944",2室2厅,115.09平米,南 北,其他,中,11,板楼
房子满5不唯一 一梯两户的电梯洋房 三室,东新城市花园 ,城东,173,"14,031",3室2厅,123.3平米,南 北,其他,高,9,板楼
盛龙广场太白苑 2室1厅 东,盛龙广场太白苑 ,黄雁村,110,"11,616",2室1厅,94.7平米,东,其他,3,30,塔楼
文艺路地铁口 2013年小区 2室无浪费空间,泰华世纪新城Ⅱ ,李家村,126,"13,182",2室2厅,95.59平米,西南,精装,高,31,板塔结合
朝阳门康复路地铁 丽苑168 两室一厅  97.27平 100万,丽苑168 ,城东,100,"10,281",2室1厅,97.27平米,南,简装,高,23,塔楼
李家村十字 朝南两室 户型方正  快来看房,李家村万达广场 ,李家村,108,"12,423",2室1厅,86.94平米,西南,其他,中,29,板塔结合
经九路，双气电梯房，业主诚心出售,金叶长乐居 ,城东,100,"12,167",2室1厅,82.19平米,东,其他,中,31,塔楼
双地铁口   小区优质户型    配套齐全   出行方便,中贸广场 ,南稍门,130,"14,858",2室1厅,87.5平米,西南,其他,高,32,板塔结合
互助路  新兴广场旁  低楼层   产权清晰  诚心出售,德鑫园小区 ,城东,83,"10,040",2室1厅,82.67平米,东南,简装,中,7,板楼
南稍门地铁口 泛渼大厦 大两室 实景照片,泛渼大厦 ,南稍门,92,"7,623",2室2厅,120.7平米,东南,其他,中,29,塔楼
东门外双气有环境 地铁口 两室南北房,世贸大厦 ,城东,122,"10,645",2室2厅,114.61平米,南 西 北,简装,高,32,板塔结合
通化门地铁口  西窑坊小区  环境好  位置便利,西窑坊小区 ,城东,80.9,"8,214",2室2厅,98.5平米,南,简装,高,7,板楼
业主急售  价格可谈 满三 满二 随时可签,兰蒂斯城2期 ,城东,105,"13,172",2室1厅,79.72平米,南,精装,中,32,板塔结合
一室简装，低总价，交通便利，近地铁，有早市。,海联物业友谊东路小区 ,城东,39,"8,127",1室1厅,47.99平米,北,简装,高,7,板楼
文艺路地铁口，二环内  长安大学旁   323医院,学院国际 ,李家村,115,"13,697",2室1厅,83.96平米,西北,其他,低,34,塔楼
小区3栋楼，开放式小区，生活交通都很便利,祭台小区 ,李家村,89,"10,648",2室1厅,83.59平米,南,其他,低,24,板楼
兴庆宫小区~两室~南向~干净~明亮~出售,兴庆宫 ,城东,145,"19,084",2室1厅,75.98平米,南,精装,中,31,板塔结合
乐居都会 1室1厅 北,乐居都会 ,城东,54,"9,041",1室1厅,59.73平米,北,其他,中,28,塔楼
兰蒂斯城1期 3室2厅 西南,兰蒂斯城1期 ,城东,210,"15,439",3室2厅,136.02平米,西南,简装,高,33,塔楼
铁路局家属院精装3室 业主诚心出售,西铁南郊住宅小区 ,城东,418,"27,294",3室2厅,153.15平米,东 南 北,精装,中,32,板塔结合
兴庆宫，小两室，可看湖，可按揭,兴庆宫 ,城东,155,"18,866",2室1厅,82.16平米,南,其他,低,33,板塔结合
采光充足，房子视野好，价格便宜,东方星座 ,城东,89,"10,378",2室2厅,85.76平米,北,简装,高,30,板塔结合
东二环通化门双地铁口宜居高层两室一厅精装双气有证,东窑坊 ,城东,108,"12,380",2室1厅,87.24平米,东北,其他,高,27,板楼
户型方正-采光好-产权清晰-随时过户,福泰公司家属院 ,城东,100,"9,746",3室2厅,102.61平米,东南,简装,中,7,板楼
体育场地铁口 嘉怡豪庭 两室全明户型 满五唯一急售,嘉怡豪庭 ,南稍门,119,"13,462",2室1厅,88.4平米,东,精装,低,32,板塔结合
煤炭设计院，二室双气，采光好，小区安静，出行方便,煤炭工业西安设计研究院住宅区 ,城东,103,"10,388",2室2厅,99.16平米,南 北,其他,中,25,板塔结合
西大街 6号线地铁口 电梯房 精装修,唐宁国际 ,城内,115,"13,239",2室2厅,86.87平米,南,简装,中,9,板塔结合
产权清晰 有证南北房， 随时可签户型方正,北火巷42号院 ,城东,78,"8,246",2室2厅,94.6平米,南 北,简装,中,7,板楼
西工大，地铁口，陪读房，顶层带露台精装修，看房方便,千業華園 ,城西,220,"16,927",2室2厅,129.97平米,南 北 西,其他,高,28,板塔结合
此房户型好 业主诚心出售此房 西京医院南100米,兴庆雅居 ,城东,65,"12,248",2室0厅,53.07平米,北,其他,低,32,塔楼
此房满三满二，户型方正，采光好,幸福逸家 ,城东,116,"11,811",2室2厅,98.22平米,东,其他,低,32,板塔结合
2021年的房子 双地铁 小东门 永兴坊 朝阳门 坏境好,长乐嘉韵 ,城东,141,"16,699",2室2厅,84.44平米,南,其他,中,32,板塔结合
户型方正 地暖 小区有个小院子 生活 配套成熟,东屿枫舍 ,城东,125,"10,726",2室2厅,116.55平米,西,其他,中,28,塔楼
学府首座 2室2厅 东北,学府首座 ,城东,165,"16,378",2室2厅,100.75平米,东北,精装,中,33,板塔结合
兰蒂斯城小区，三室两厅，南北朝向,兰蒂斯城3期 ,城东,290,"19,828",3室2厅,146.26平米,东南 南,精装,中,32,塔楼
